wallet,type,amount,usd_value,from,to,timestamp,date,signature,token_address,token_symbol
HVh6wHNBAsG3pq1Bj5oCzRjoWKVogEDHwUHkRz3ekFgt,TOKEN,2067169.0,2067169.0,xv4t5VqVGaH8YfHt4XZDRGKuNMiFpRRAzBHtChuxSiL,HVh6wHNBAsG3pq1Bj5oCzRjoWKVogEDHwUHkRz3ekFgt,2025-08-04 17:19:25,2025-08-04,4ii3rdAnEPeUjssGdPVSkw6fgBmt51TuwD5oyxcmHpiVu4DcLuPiKoLdQYv3ZcLgQN2cZFodt5pCRv8jRq9fwQgh,7cjG5MfGajAxaqr3JFQM5pdBTYibhLP4WGt8RN9ipump,TOKEN-7cjG5MfG...
HVh6wHNBAsG3pq1Bj5oCzRjoWKVogEDHwUHkRz3ekFgt,TOKEN,2033149.0,2033149.0,5D4aidAeZhx2g7UK5TLBu3XJM33PeLCSPP7qnbfFs3fC,FWznbcNXWQuHTawe9RxvQ2LdCENssh12dsznf4RiouN5,2025-07-31 14:24:27,2025-07-31,4LdJfGpffhW568XSENSjgTUYcdFmDkQMXSQCvrqDERPc7iSwrAfqABH5TS9iK4ADSrWs96LDfiWKXAijs8abXn3D,HpzUntkU5Ek9ZNB6UtgXfYicgqyroJJoxtJdTFmJTjfC,TOKEN-HpzUntkU...
DBmae92YTQKLsNzXcPscxiwPqMcz9stQr2prB5ZCAHPd,TOKEN,2000000.0,2000000.0,DBmae92YTQKLsNzXcPscxiwPqMcz9stQr2prB5ZCAHPd,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,2025-08-01 14:30:01,2025-08-01,5b7LPrbQ52h4B7cDATym6Q9aHgHttj62Mm7q2FqeCHSRACW6NuSQN6a6P5NvZ1odRcsMdyg6j9vR4tCR8XSkZPan,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,TOKEN-FUAfBo2j...
DBmae92YTQKLsNzXcPscxiwPqMcz9stQr2prB5ZCAHPd,TOKEN,2000000.0,2000000.0,DBmae92YTQKLsNzXcPscxiwPqMcz9stQr2prB5ZCAHPd,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,2025-08-02 05:27:53,2025-08-02,2XmnWsj6utjQwpvVsPauiWbCCKMxYJF7mhxQD4eevdqYmHvRPmL1KmiSztPAwPQymgeNocg2P9yrM9M6aecQnawG,C29ebrgYjYoJPMGPnPSGY1q3mMGk4iDSqnQeQQA7moon,TOKEN-C29ebrgY...
HVh6wHNBAsG3pq1Bj5oCzRjoWKVogEDHwUHkRz3ekFgt,TOKEN,2000000.0,2000000.0,HVh6wHNBAsG3pq1Bj5oCzRjoWKVogEDHwUHkRz3ekFgt,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,2025-08-01 14:40:11,2025-08-01,mJqVqhaD1FPvNaY3xeFZ3tBzuGQMyxxrF81UwMH4XhBjSggF3vgvDfLEVaFFntNuiQZ9mmQqja6P7hJyRDG3pCi,xxxxa1sKNGwFtw2kFn8XauW9xq8hBZ5kVtcSesTT9fW,TOKEN-xxxxa1sK...
DBmae92YTQKLsNzXcPscxiwPqMcz9stQr2prB5ZCAHPd,TOKEN,2000000.0,2000000.0,DBmae92YTQKLsNzXcPscxiwPqMcz9stQr2prB5ZCAHPd,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,2025-08-01 14:29:42,2025-08-01,63we61DXzkULwyHwsAFhBUSKL68zirRmTcNHvGhKjv9HCuZ5SCP2QmWHHTKrSFpNM1whaPuMqe4NFoZEgEhGYfvn,6AJcP7wuLwmRYLBNbi825wgguaPsWzPBEHcHndpRpump,TOKEN-6AJcP7wu...
u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,TOKEN,1948532.84,1948532.84,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,8v9n2igw7JDXDUAri6BPqJuyr5wLC77YcRDdoJAq7ZWG,2025-08-06 03:29:38,2025-08-06,5Z3MDKpMquU897At7QZ2LNB9JazrQBo6U3S7QGtiyU83boGERewdw7hWDCK3t56noYSFoERebB9EyGMooJ7MS2fd,NeonTjSjsuo3rexg9o6vHuMXw62f9V7zvmu8M8Zut44,TOKEN-NeonTjSj...
u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,TOKEN,1914296.34,1914296.34,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,HwbW3Xi6sh18KN7uykxYwtBNF6bpHbqdrUz27TL5joPf,2025-08-06 03:37:41,2025-08-06,5i7cofiHauZBDwswF1sPvpcwZTGdFRZd8uXbzMHU8Ybc7VZ2QLu4KtbM7ErKtJGW6hiDm6n4pyjqtpgjAkAKPh9h,ZBCNpuD7YMXzTHB2fhGkGi78MNsHGLRXUhRewNRm9RU,TOKEN-ZBCNpuD7...
HVh6wHNBAsG3pq1Bj5oCzRjoWKVogEDHwUHkRz3ekFgt,TOKEN,1874476.0,1874476.0,xv4t5VqVGaH8YfHt4XZDRGKuNMiFpRRAzBHtChuxSiL,EYx38G5SbdTGmocN2jdUQA1GCiHq1WNhSWwvsf11H6Zp,2025-08-04 17:19:25,2025-08-04,4ii3rdAnEPeUjssGdPVSkw6fgBmt51TuwD5oyxcmHpiVu4DcLuPiKoLdQYv3ZcLgQN2cZFodt5pCRv8jRq9fwQgh,7cjG5MfGajAxaqr3JFQM5pdBTYibhLP4WGt8RN9ipump,TOKEN-7cjG5MfG...
HVh6wHNBAsG3pq1Bj5oCzRjoWKVogEDHwUHkRz3ekFgt,TOKEN,1854830.0,1854830.0,xv4t5VqVGaH8YfHt4XZDRGKuNMiFpRRAzBHtChuxSiL,A77HErqtfN1hLLpvZ9pCtu66FEtM8BveoaKbbMoZ4RiR,2025-08-04 17:19:25,2025-08-04,4ii3rdAnEPeUjssGdPVSkw6fgBmt51TuwD5oyxcmHpiVu4DcLuPiKoLdQYv3ZcLgQN2cZFodt5pCRv8jRq9fwQgh,7cjG5MfGajAxaqr3JFQM5pdBTYibhLP4WGt8RN9ipump,TOKEN-7cjG5MfG...
